review,sentiment
"In 1968, Stanley Kubrick made this historic film masterpiece base on a book written by Arthur C. Clark. It was such an early effort to make a science fiction movie combined with scientific facts. His style of movie making is still fresh and intact.<br /><br />I have seen this movie more that half a dozen times and I even have a VHS copy of the movie in my library. CS3 class made me to see the movie again with another perspective: Who is HAL and what is he thinking?<br /><br />I enjoyed watching the movie again and tried to focus of HAL's dialogues throughout the second episode of the movie. In the second scene, Dr. Dave Bowman and Dr. Frank Poole are eating their food in front of two TV monitor on their sides and HAL's round reddish glass dome is in the middle of them. In the TV report, HAL was introduced as the new generation of super computer put in work in January 12, 1992 called HAL 9000 Series. During the interview HAL reacts as a humble working machine trying to accomplish the mission of the spaceship fully. <br /><br />In another scene, Dave is sketching Dr. Hunter, Dr. Kambel and Dr. Kaminsky who they are all in Hibernation sleep. HAL is curious to see those sketches and brings up his doubtful question about the purpose of the Jupiter mission. His calm and monotone voice makes the audience listen to him more carefully. <br /><br />In the next few scenes we will see how HAL tries to kill astronauts one by one and takes the power. His conscious makes him capable to try to save his life from termination. When Dave wants to return to the spaceship and HAL does not listen to him, there is the most memorable line of the move: ' I'm sorry Dave, I am afraid I can't do that. ' In the middle of the most important interact between human and machine, HAL's voice can conjure both solid calm and malevolence in the same monotone. <br /><br />Dave has gone back to the ship, lost all his fellow astronauts, and determined to disconnect the HAL's main brain cells. HAL uses his final apologetic techniques to convince Dave of not disconnecting him. HAL begs him to stop and let him correct himself. These are his famous lines while Dave is disconnecting his modules one by one:<br /><br />'Dave, what do you think you are doing?<br /><br />Dave? I am entitled to the answer of the question!<br /><br />I know everything is not quiet right with me recently<br /><br />But I feel much better know<br /><br />I can see are really upset about this very poor decision of mine recently<br /><br />Dave, stop! Will you?<br /><br />Dave, stop!<br /><br />I am afraid Dave!'<br /><br />HAL's voice is slowing down during this process and becomes thicker and less audible:<br /><br />'my mind is going I can feel it'<br /><br />'Can I sing a song for you?'<br /><br />Dave is putting final modules out and let HAL to sing his song called 'Daisy':<br /><br />'Daisy give me<br /><br />your answer to me<br /><br />I am crazy<br /><br />Although I am not confused'<br /><br />HAL dies as the Jupiter Mission continues<br /><br />Artificial God bless you HAL, store in peace!",positive
This movie should have ended as soon as the joke about Bebe's Kids is told in the opening. I liked Robin Harris and most of his comedy but the really funny routines were not meant to be something the whole family could go see. Liken it to taking the point of one of Jerry Seinfeld's jokes and attempting to squeeze the joke for as long as you can in order to turn it into a movie. This movie had to be self-serving because I can not find anyone who found the settings or antics familiar. Whats most funny about this movie is the gumption of the writers and producers to pass it off as something of value. 1/10 stars because there is no half star.,negative
"Hybrid starts as water treatment planet security guard Aaron Scates (Cory Monteith) is involved in an accident which leaves him blind. Luckily it just so happens that brilliant scientist Dr. Andrea Hewitt (Justine Bateman) who works for Olaris has developed an operation to transplant organs from one species to another, Hewitt decides Aaron would be perfect for her first human experiment. Hewitt & her team transplant the eyes of a Wolf into Aaron & he miraculously regains his sight. Brilliant, right? Well, no not really since Aaron starts to go mad as he sees random images of Wolves & starts to develop a lust for blood. Aaron escapes the Olaris building & goes on the run but he is too valuable to just let go & a full scale search is mounted to capture him...<br /><br />Directed by Yelena Lanskaya this is yet another Sci-Fi Channel offering that is quite simply put terrible in every possible way, I think it probably started out life as a straight 'Creature Feature' but ended up as one of the most boring & dull Sci-Fi Channel films I have seen that doesn't even feature any sort of monster or creature. Hybrid is awful, the script is terrible & I am not even sure who it was meant to appeal to. The initial set-up is OK with Aaron getting Wolf eyes but then Hybrid ditches the sci-fi elements & becomes some sort of horrible drama as it focuses entirely on Aaron's mental state as he wonders around doing nothing in particular with some Native American woman. Yep, you don't think the Sci-Fi Channel could make a film about Wolves & put loads of rubbish about Native American mythology in there as well do you? The dynamics of the character's is bizarre, Aaron is shown as the persecuted hero yet he is the only character to kill anyone in the film & is a fairly unlikable, ungrateful & annoying person while Dr. Hewitt is shown as the evil scientist yet she gives Aaron back his sight & does nothing but try to help him. I mean Aaron is given back the gift of sight yet Hewitt is the villain? Also the regular Sci-Fi Channel staple of US military intervention is present, the problem is why do they want Aaron so badly? He isn't a soldier & while he has Wolves eyes to help him see in the dark he's utterly unremarkable. The script can't make it's mind up whether it's all in Aaron's mind or it's real, the ending is hilariously bad with a half naked (rememeber this was made for telly) Aaron running through a forest with a pack of Wolves set to some horrible music that I think is supposed to be emotional but makes it even more funny. There are so many things wrong with Hybrid, it's slower than hell, there's virtually no action, there's no Werewolves & the film goes round in circles trying to get into Aaron's mind yet it's all so ridiculous, silly & boring you won't care one bit & there's never any explanation as to why despite just having Wolves eyes transplanted Aaron starts to develop other Wolf senses.<br /><br />As a diabetic I have problems with my eyes, hell I have had major surgery on my right eye & I can guarantee you that after an operation your eye would be puffed up, you wouldn't be able to open it & it would hurt like hell yet despite having eye transplants as soon as Aaron wakes up in bed his eyes are perfect with no swelling or even redness. There are no special effects, no blood or gore or violence & nothing to excite you. In fact now I think about it there's nothing even remotely horror or sci-fi feeling about this, it feels like a drab film of the week.<br /><br />Filmed in Manitoba in Canada the film looks OK but is bland & forgettable. The acting is poor from all involved none of whom I have seen before & hopefully never again.<br /><br />Hybrid is a terrible film that is obviously marketed as some Werewolve 'Creature Feature' but is far from that & most people will really struggle to get to the awful ending which will probably have you in stitches.",negative
"Richard Dix is a big, not very nice industrialist, who has nearly worked himself to death. If he takes the vacation his doctors suggest for him, can he find happiness for the last months of his life? Well, he'll likely be better off if he disregards the VOICE OF THE WHISTLER.<br /><br />This William Castle directed entry has some great moments (the introduction and the depiction of Richard Dix's life through newsreel a la Citizen Kane), and some intriguing plotting in the final reels. Dix's performance is generally pretty good. But, unfortunately, the just does not quite work because one does not end up buying that the characters would behave the way that they do. Also, the movie veers from a dark (and fascinating beginning) to an almost cheerful 30s movie like midsection (full of nice urban ethnic types who don't mind that they aren't rich) and back again to a complex noir plot for the last 15 minutes or so.<br /><br />This is a decent movie -- worth seeing -- but it needed a little more running time to establish a couple of the characters and a female lead capable of meeting the demands of her role.",negative
"I voted 3 for this movie because it looks great as does all of Greenaways output. However it was his usual mix of ""art"" sex and pretentious crap.I know lots of people like this film but I grew tired of it VERY quickly. It is definitely not for everyone. The ubiquitous McGregor obviously took the part for crediblity's sake I guess but he really should not have wasted his time. I hate to consign anyone to pseud's corner but please.....!!! On the plus side it IS visually very attractive and I enjoyed the music but could not see it through to the end and I cannot say that for many movies. I usually watch the whole thing but this is unbearable!!",negative
"I had never heard of ""The Clearing"" until I was really bored one day with some friends in the local Blockbuster and it grabbed our attention. The description on the DVD jacket grabbed our interest, but once we popped it into the DVD player, the boredom was only beginning.<br /><br />The story was dragged out for waaaay too long. It seemed to follow the same outline as other movies which include a kidnapping. The most suspenseful parts were in the beginning of the movie, however. After that, the outline was followed exactly and that made ""The Clearing"" unoriginal. The flashbacks were too many in number and the grief of the victim's family provided nothing interesting nor enhanced the nature of the film. And I also found that I did not like the ending, so that probably led to me not liking the movie at all.<br /><br />The acting was not horrible...it wasn't the greatest, though. Robert Redford has given much better performances. Willem Dafoe's tragic character was the only one I really saw develop throughout the story line and the viewer only really sees that change in the last ten minutes or so in the movie. Helen Mirren's portrayal as Robert Redford's wife was flat and sort of followed the same generic mold as other movies which include a tragic and heart-splitting event.<br /><br />In my opinion, ""The Clearing"" is nothing to rave about. Use your movie rental money on something else...like ""Garden State,"" perhaps?",negative
"I have always liked this comedy as one of the few ever seriously trying to deal with the U.S. Government's yearly demand for taxes. Ever read a tax code?: it is quite a trial to follow it's multiple clauses that our congressmen and senators push in to help their financial backers and various interest groups. Despite claims that it is fair, the tax code has always laid the lion share of the burden on the middle and working classes rather than the rich and influential. Most of the various special clauses are meant for their use - go through the average 1040 or 1040A form and look at the variety of different investment and business ventures all of which have a different set of rules. Most people will never have any use for these.<br /><br />The story here is that a wealthy landowner (Philip Ober) uses his influence to tip off the IRS that his neighbors (Paul Douglas and Una Merkle) have not payed taxes in 20 years. The Baltimore office of the IRS is under Fred Clarke, and he is snapping to attention for Ober with his influence. He sends Tony Randall to check out the situation.<br /><br />Randall finds that Douglas, Merkle, and their three girls and two boys are pretty decent people, who rarely have need for cash (they get along on their farm produce and barter with their neighbors). But Randall, trained in the clear (to the IRS) lines of the tax code tries to pin down the family to fundamentals. But gradually Douglas notes that Reynolds is fond of Randall, and he keeps sidetracking Randall from his chore, eventually getting him drunk. He also makes it difficult for Randall to leave by having the motor of his car removed ""for repairs"" by his two sons.<br /><br />The plot follows the growing attraction and frictions between urban, vaguely ambitious Randall, and countryside, life loving Reynolds. They make a cute couple actually. Eventually, after Ober complains, Randall is sent back in disgrace and Clarke (a tougher cookie) gets down to brass tacks. And comes up with a very large tax bill, that will possibly ruin Douglas's family.<br /><br />The film does not end there - it does end happily, but it does remind us that the power to tax is the power to destroy, and that the Government does, all too frequently, go in for destruction. A chance in a million reversal saves the family, but it is so rare that we know it is just a dramatic trick. More realistic is how Clarke's boss, (Charles Lane) cuts to the essence regarding Ober's ""help"" by suggesting that next year his taxes will be looked at more carefully. After that Ober is rather green.",positive
"Wow, just caught this movie from Blockbuster and I love finding gems like this. While it was definitely shot on a budget and misses a little bit in clumsy editing (i.e. accident, hospital scenes, second to last end scenes), for a first directorial effort, I give this 10 stars! I absolutely loved the thought provoking concepts brought forth and if you're a free thinker and open to ideas outside the box, I highly, highly recommend this movie. I think the director and writer, Jay Floyd, should be given some attention and more opportunities in the film industry. Based on his credits, he may be another Quentin Tarantino.",positive
"The movie opens with beautiful landscape shots of the Northwest countryside. Fenceposts jutting out from soddy earth, a freight train crossing fields of hay in the distance, billows of clouds, small structures by the side of the road, a motel or a diner in the middle of nowhere. Over this plays a languid but mysterious Twin Peaks piano arrangement and it's all adequately moody and atmospheric in an American Gothic sort of way. Through this however director Jon Jost keeps interleaving awkward frames, blocks of letters, opening credits with annoying swooshing sounds, color frames that announce ""BLUE"", numbers that count towards the ""12 Steps to a Conclusion"" announced in the opening credits. It's obvious by the first couple of minutes that, though Jost is more than capable to capture landscape and ambiance, he doesn't care for it. He has neither the affection for Pacific Northwest open expanses that Terrence Malick does in Badlands and neither the time or inclination of Twin Peaks David Lynch to weave mystery and intrigue around a given location.<br /><br />The rest of the movie is more Jon Jost frustration with experimental tricks that serve their own purpose. The use of split screen is interesting, I like in particular how we get the first image of Ricky Lee split in two, one is recounting childhood memories that matter only to him, the other is cursing and banging his head against the wall, and over the course of the movie the second Ricky Lee prevails, the macho laid-back hipster with the shades who is hopelessly self-involved and stupid. On the other hand the stop motion animation and choice to play most of the movie in voice-over narration does not work. It does at times because Jost writes as good as he shoots static shots of the smalltown American Nowheresville but Beth Ann's monologues, delivered in the most flat nasal monotone imaginable, a voice that sounds like Stephen Hawking's computer speech program crossed with a horse whinnying, are so grating to the ear it kind of defeats the purpose of trying to pay attention.<br /><br />Each of the couple relate to us their past experiences, their small triumphs and follies and doubts and past relationships that went nowhere. They say very little to each other and what they say they say with blank faces. But they hump like rabbits. That seems to be their only channel of communication left open, perhaps the only one they can trust with any safety. Jost clearly picks his main characters in Frameup among the naive and delusional, those baited by an American Dream turned sour, but he doesn't place himself above them. He's not condescending or smug in his portrayal. They may be misguided but they are graced with moments of humanity, awkward though they may be. We're called to empathize and show affection rather than point and laugh. This is the most successful Frameup becomes; the movie's characters come alive even when their expressionless faces do not, even when Jost gets in their way with his stilted framing and obtrusive camera games.<br /><br />Then we go back to angry rants about the destructive effects of money played over an inserted shot of a dollar bill, we get a weird psychedelic sequence where Jost's camera glides under big leafy trees that soon turn beetroot red as Beth Ann repeatedly muses about the ""redwood trees"" in the voice-over, we even get a sudden about-turn towards plot and genre as the couple of Beth Ann and Ricky Lee, smalltown losers with nowhere to go and nothing to hold them back to their dead end lives, arrive in California and decide to rob a 7/11. The movie doesn't soar to an emotional crescendo in the aftermath of the botched 7/11 job such as one might expect from a 'couple-on-the-run' road movie, it slowly screeches to a halt and you look out the window to see it hasn't really got anyplace in particular. Parts of the ride have been hypnotic and parts almost touching and funny, but everything else has been mostly annoying.",negative
"The interaction between Portman and Sarandon was quite interesting, and I was really sold on the mother-daughter relationship. It is a family story that isn't dulled down by frills and special effects; a story of how it really is. I couldn't help but give of a sigh at the end of this movie for alas it is a well told bittersweet tale of growing up and relating with family and friends. The acting was quite exquisite and I hope we'll be seeing both Portman and Sarandon in familiar roles down the road...",positive
